ck_id	county	duchy	top_qid	top_label	top_description	p31	inception	dissolution	start_time	end_time	screen_status	notes
c_albarracin	Albarracin	Aragon	Q695488	Albarracín	municipality of Spain	Q2074737					defer	No bounded inception/dissolution pair or entity remains ambiguous for DUCHY title materialization.
c_albi	Albi	Languedoc	Q132801	Albi	French commune in Tarn, Occitania	Q484170					defer	No bounded inception/dissolution pair or entity remains ambiguous for DUCHY title materialization.
c_albret	Albret	Gascogne	Q2608761	Albret	royal family of Navarre	Q13417114		1789			defer	No bounded inception/dissolution pair or entity remains ambiguous for DUCHY title materialization.
c_alcacer_do_sal	Alcacer do Sal	Beja	Q850697	Alcácer do Sal	municipality in Portugal	Q13217644					defer	No bounded inception/dissolution pair or entity remains ambiguous for DUCHY title materialization.
c_alcaniz	Alcaniz	Aragon	Q24015190	Alcañiz	capital of Alcañiz Municipality, Spain	Q11939023; Q121289819					defer	No bounded inception/dissolution pair or entity remains ambiguous for DUCHY title materialization.
c_alcaraz	Alcaraz	Murcia	Q24008382	Alcaraz	capital of Alcaraz Municipality, Spain	Q121289819					defer	No bounded inception/dissolution pair or entity remains ambiguous for DUCHY title materialization.
c_alencon	Alençon	Normandy	Q181269	Alençon	commune in Orne, France	Q484170					defer	No bounded inception/dissolution pair or entity remains ambiguous for DUCHY title materialization.
c_algeciras	Algeciras	Seville	Q484552	Algeciras	municipality and city in the province of Cádiz, Spain	Q2074737					defer	No bounded inception/dissolution pair or entity remains ambiguous for DUCHY title materialization.
c_alicante	Alicante	València	Q11959	Alicante	city in Valencian Community, Spain	Q2074737; Q515; Q1549591; Q123754112	-231				defer	No bounded inception/dissolution pair or entity remains ambiguous for DUCHY title materialization.
c_almeria	Almeria	Granada	Q10400	Almería	municipality and capital of the province of Almeria, Spain	Q2074737					defer	No bounded inception/dissolution pair or entity remains ambiguous for DUCHY title materialization.
c_alpsee	Alpsee	Augsburg	Q546344	Großer Alpsee	lake in the municipality of Immenstadt im Allgäu, Bavaria, Germany	Q23397; Q47524436					defer	No bounded inception/dissolution pair or entity remains ambiguous for DUCHY title materialization.
c_alto_aragon	Alto Aragon	Aragon	Q47006056	Alto Aragón en Común		Q7210356					defer	No bounded inception/dissolution pair or entity remains ambiguous for DUCHY title materialization.
c_aluksne	Aluksne	Latgalia	Q291333	Alūksne	city and capital of Alūksne Municipality, Latvia	Q15584664	1284				defer	No bounded inception/dissolution pair or entity remains ambiguous for DUCHY title materialization.
c_amaya	Amaya	Cantabria	Q30601767	Amaya	family name	Q101352					defer	No bounded inception/dissolution pair or entity remains ambiguous for DUCHY title materialization.
c_amiens	Amiens	Valois	Q41604	Amiens	commune in Somme, France	Q484170; Q1549591					defer	No bounded inception/dissolution pair or entity remains ambiguous for DUCHY title materialization.
c_amstetten	Amstetten	Austria	Q251231	Amstetten	capital of Amstetten District, Lower Austria, Austria	Q667509; Q13539802					defer	No bounded inception/dissolution pair or entity remains ambiguous for DUCHY title materialization.
c_ancona	Ancona	Ancona	Q3415	Ancona	Italian city in the Marches region	Q747074; Q515; Q1549591	-387				defer	No bounded inception/dissolution pair or entity remains ambiguous for DUCHY title materialization.
c_angermanland	Ångermanland	Norrland	Q209853	Ångermanland	province in Sweden	Q193556					defer	No bounded inception/dissolution pair or entity remains ambiguous for DUCHY title materialization.
c_angouleme	Angoulême	Aquitaine	Q134346	Angoulême	commune in Charente, France	Q484170					defer	No bounded inception/dissolution pair or entity remains ambiguous for DUCHY title materialization.
c_angus	Angus	Albany	Q591929	Angus	male given name	Q12308941					defer	No bounded inception/dissolution pair or entity remains ambiguous for DUCHY title materialization.
c_anjou	Anjou	Anjou	Q960503	Anjou	commune in Isère, France	Q484170					defer	No bounded inception/dissolution pair or entity remains ambiguous for DUCHY title materialization.
c_annandale	Annandale	Strathclyde	Q1375477	Annandale	census designated place in Virginia, United Stetes	Q498162					defer	No bounded inception/dissolution pair or entity remains ambiguous for DUCHY title materialization.
c_ansbach	Ansbach	East Franconia	Q14859	Ansbach	town in Bavaria, Germany	Q42744322; Q85631896; Q134626					defer	No bounded inception/dissolution pair or entity remains ambiguous for DUCHY title materialization.
c_antipatreia	Antipatreia	Dyrrachion	Q16737361	Antipatreia	ancient Greek city	Q15661340					defer	No bounded inception/dissolution pair or entity remains ambiguous for DUCHY title materialization.
c_antwerpen	Antwerpen	Brabant	Q12892	Antwerp	municipality in the province of Antwerp, Belgium	Q15273785; Q493522; Q902814; Q1549591; Q2264924					defer	No bounded inception/dissolution pair or entity remains ambiguous for DUCHY title materialization.
c_aosta	Aosta	Savoy	Q3367	Aosta	comune in Aosta Valley, Italy	Q747074					defer	No bounded inception/dissolution pair or entity remains ambiguous for DUCHY title materialization.
c_apahunik	Apahunik	Vaspurakan	Q4067918	Apahunik		Q4131030					defer	No bounded inception/dissolution pair or entity remains ambiguous for DUCHY title materialization.
c_apulia	Apulia	Apulia	Q10416467	Apulia	genus of insects	Q16521					defer	No bounded inception/dissolution pair or entity remains ambiguous for DUCHY title materialization.
c_aquileia	Aquileia	Friuli	Q53216	Aquileia	Italian comune based on the ancient Roman city in Italy, at the head of the Adriatic at the edge of the lagoons	Q747074					defer	No bounded inception/dissolution pair or entity remains ambiguous for DUCHY title materialization.
