ck_id	county	duchy	top_qid	top_label	top_description	p31	inception	dissolution	start_time	end_time	screen_status	notes
c_vodica	Krajina	Lower Bosnia	Q45172024	Krajina	street in Kvasice, Czech Republic	Q79007					defer	No bounded inception/dissolution pair or entity remains ambiguous for DUCHY title materialization.
c_krajna	Krajna	Polania	Q571255	Krajna	Slovenian human settlement	Q486972					defer	No bounded inception/dissolution pair or entity remains ambiguous for DUCHY title materialization.
c_krakowska	Kraków	Vistulania	Q31487	Kraków	capital city of Lesser Poland Voivodeship in southern Poland	Q925381; Q1549591; Q707813; Q1200957; Q108178728; Q7930989; Q13539802; Q129268952					defer	No bounded inception/dissolution pair or entity remains ambiguous for DUCHY title materialization.
c_kran	Kran	Philippopolis	Q1021	Kranj	city in Slovenia	Q515					defer	No bounded inception/dissolution pair or entity remains ambiguous for DUCHY title materialization.
c_kranj	Kranj	Krain	Q1021	Kranj	city in Slovenia	Q515					defer	No bounded inception/dissolution pair or entity remains ambiguous for DUCHY title materialization.
c_krasso	Krassó	Temes	Q127666890	Krasso	family name	Q101352					defer	No bounded inception/dissolution pair or entity remains ambiguous for DUCHY title materialization.
c_krems	Krems	Austria	Q131266	Krems	city in Austria	Q262882; Q871419; Q667509					defer	No bounded inception/dissolution pair or entity remains ambiguous for DUCHY title materialization.
c_kujawy	Kujawy	Kuyavia	Q920095	Kujawy	village in Masovian Voivodeship, Poland	Q3558970					defer	No bounded inception/dissolution pair or entity remains ambiguous for DUCHY title materialization.
c_kursk	Kursk	Chernigov	Q217463	Kursk	1994 Oscar-II-class submarine	Q2001879; Q852190					defer	No bounded inception/dissolution pair or entity remains ambiguous for DUCHY title materialization.
c_kiev	Kyiv	Kyiv	Q1899	Kyiv	capital and largest city of Ukraine	Q51929311; Q7930989; Q1200957; Q12131624	482				defer	No bounded inception/dissolution pair or entity remains ambiguous for DUCHY title materialization.
c_kyzistra	Kyzistra	Charsianon	Q95641454	Kyzistra (Pauly-Wissowa)	encyclopedic article in Paulys Realencyclopädie der classischen Altertumswissenschaft (RE)	Q13433827					defer	No bounded inception/dissolution pair or entity remains ambiguous for DUCHY title materialization.
c_la_marche	La Marche	Bourbon	Q816026	La Marche	commune in Nièvre, France	Q484170					defer	No bounded inception/dissolution pair or entity remains ambiguous for DUCHY title materialization.
c_labourd	Labourd	Gascogne	Q671023	Labourd	historical province in the Basque Country, France	Q34876					defer	No bounded inception/dissolution pair or entity remains ambiguous for DUCHY title materialization.
c_laconia	Laconia	Achaia	Q993431	Laconia	city in New Hampshire, United States	Q1093829	1855				defer	No bounded inception/dissolution pair or entity remains ambiguous for DUCHY title materialization.
c_lanarkshire	Lanarkshire	Lothian	Q530296	Lanarkshire	historic county of Scotland, UK	Q7309443; Q202435; Q67376938; Q1350181					defer	No bounded inception/dissolution pair or entity remains ambiguous for DUCHY title materialization.
c_lancashire	Lancashire	Lancaster	Q67311452	Lancashire	historic county of England	Q1138494; Q2991489					defer	No bounded inception/dissolution pair or entity remains ambiguous for DUCHY title materialization.
c_lanciano	Lanciano	Spoleto	Q8645	Lanciano	Italian comune	Q747074					defer	No bounded inception/dissolution pair or entity remains ambiguous for DUCHY title materialization.
c_langres	Langres	Burgundy	Q203293	Langres	commune in Haute-Marne, France	Q484170					defer	No bounded inception/dissolution pair or entity remains ambiguous for DUCHY title materialization.
c_lapusna	Lăpușna	Bugeac	Q20678568	Lapušna	village in Belarus	Q65661087					defer	No bounded inception/dissolution pair or entity remains ambiguous for DUCHY title materialization.
c_lecce	Lecce	Apulia	Q13386	Lecce	Italian comune	Q747074; Q515					defer	No bounded inception/dissolution pair or entity remains ambiguous for DUCHY title materialization.
c_leczycka	Łęczyca	Kuyavia	Q325727	Łęczyca	city and urban gmina of Poland	Q2616791					defer	No bounded inception/dissolution pair or entity remains ambiguous for DUCHY title materialization.
c_legnica	Legnica	Silesia	Q106274	Legnica	city with powiat rights of Poland	Q925381; Q515	1264				defer	No bounded inception/dissolution pair or entity remains ambiguous for DUCHY title materialization.
c_ljubljana	Leibach	Krain	Q37183750	Leibach	family name	Q101352					defer	No bounded inception/dissolution pair or entity remains ambiguous for DUCHY title materialization.
c_liebnitz	Leibnitz	Steyermark	Q9047	Gottfried Wilhelm Leibniz	German mathematician and philosopher (1646–1716)	Q5					defer	No bounded inception/dissolution pair or entity remains ambiguous for DUCHY title materialization.
c_leicestershire	Leicestershire	Mercia	Q67533246	Leicestershire	historic county of England	Q1138494					defer	No bounded inception/dissolution pair or entity remains ambiguous for DUCHY title materialization.
c_leinster	Leinster	Leinster	Q159736	Leinster	province in Ireland	Q202156					defer	No bounded inception/dissolution pair or entity remains ambiguous for DUCHY title materialization.
c_lennox	Lennox	Strathclyde	Q37496487	Lennox	family name	Q101352					defer	No bounded inception/dissolution pair or entity remains ambiguous for DUCHY title materialization.
c_leon	Leon	León	Q37080	Leon	male given name	Q12308941					defer	No bounded inception/dissolution pair or entity remains ambiguous for DUCHY title materialization.
c_french_leon	Léon	Brittany	Q17781870	Léon	male given name	Q12308941					defer	No bounded inception/dissolution pair or entity remains ambiguous for DUCHY title materialization.
c_lesbos	Lesbos	Aegean Islands	Q128087	Lesbos	Greek island located in the northeastern Aegean Sea	Q23442					defer	No bounded inception/dissolution pair or entity remains ambiguous for DUCHY title materialization.
c_leuchtenburg	Leuchtenburg	Nordgau	Q666373	Seini	town in Maramureș County, Romania	Q16858213	1334				defer	No bounded inception/dissolution pair or entity remains ambiguous for DUCHY title materialization.
c_liege	Liege	Luxembourg	Q3992	Liège	city in Wallonia, Belgium	Q515; Q493522; Q15273785; Q866196; Q956214; Q1549591	800				defer	No bounded inception/dissolution pair or entity remains ambiguous for DUCHY title materialization.
c_lienz	Lienz	Tyrol	Q336250	Lienz	town in Lienz District, Tyrol, Austria	Q667509; Q13539802; Q515					defer	No bounded inception/dissolution pair or entity remains ambiguous for DUCHY title materialization.
c_lika	Lika	Croatia	Q142894	Lika	geographic and historical region of Croatia	Q1620908					defer	No bounded inception/dissolution pair or entity remains ambiguous for DUCHY title materialization.
c_lille	Lille	Flanders	Q648	Lille	city and commune in Nord, Hauts-de-France, Northern France	Q484170; Q1549591					defer	No bounded inception/dissolution pair or entity remains ambiguous for DUCHY title materialization.
c_limousin	Limousin	Aquitaine	Q63760480	Limousin	family name	Q101352					defer	No bounded inception/dissolution pair or entity remains ambiguous for DUCHY title materialization.
c_lincolnshire	Lincolnshire	York	Q67533486	Lincolnshire	historic county of England	Q1138494					defer	No bounded inception/dissolution pair or entity remains ambiguous for DUCHY title materialization.
c_linlithgowshire	Linlithgowshire	Lothian	Q67317108	West Lothian	historic county of Scotland	Q1350181; Q67376938					defer	No bounded inception/dissolution pair or entity remains ambiguous for DUCHY title materialization.
