ck_id	county	duchy	top_qid	top_label	top_description	p31	inception	dissolution	start_time	end_time	screen_status	notes
c_hallstatt	Hallstatt	Salzburg	Q131633	Hallstatt	municipality in Gmunden District, Upper Austria, Austria	Q562061; Q667509					defer	No bounded inception/dissolution pair or entity remains ambiguous for DUCHY title materialization.
c_halsingland	Halsingland	Norrland	Q206564	Hälsingland	historical province in Sweden	Q193556					defer	No bounded inception/dissolution pair or entity remains ambiguous for DUCHY title materialization.
c_halych	Halych	Halych	Q146450	Halych	city in the Ivano-Frankisk Oblast of Ukraine	Q12131624					defer	No bounded inception/dissolution pair or entity remains ambiguous for DUCHY title materialization.
c_hamburg	Hamburg	Ostfalen	Q51974	Hamburger SV	German sports club based in Hamburg, with its largest branch being its football department	Q847017; Q476028	1887				defer	No bounded inception/dissolution pair or entity remains ambiguous for DUCHY title materialization.
c_hampton	Hampshire	Wessex	Q67531563	Hampshire	historic county of England, United Kingdom	Q1138494					defer	No bounded inception/dissolution pair or entity remains ambiguous for DUCHY title materialization.
c_hannover	Hannover	Angria	Q1715	Hanover	capital city of the German federated state of Lower Saxony	Q1549591; Q85635929; Q707813; Q42744322; Q134626; Q1780389; Q14784328; Q133997300					defer	No bounded inception/dissolution pair or entity remains ambiguous for DUCHY title materialization.
c_havelberg	Havelberg	Nordmark	Q504040	Havelberg	municipality of Germany	Q707813; Q42744322					defer	No bounded inception/dissolution pair or entity remains ambiguous for DUCHY title materialization.
c_hayk	Hayk	Greater Armenia	Q113579768	Haykuhi Musheghyan	particle physicist at CERN	Q5					defer	No bounded inception/dissolution pair or entity remains ambiguous for DUCHY title materialization.
c_hedmork	Heiðmörk	Upplönd	Q1145380	Heiðmörk	conservation area in Reykjavík, Iceland	Q473972; Q4421	1950				defer	No bounded inception/dissolution pair or entity remains ambiguous for DUCHY title materialization.
c_helenopontus	Helenopontus	Armeniac	Q1227090	Diospontus	Roman province in Pontus	Q182547					defer	No bounded inception/dissolution pair or entity remains ambiguous for DUCHY title materialization.
c_helgum	Helgum	Jamtaland	Q937262	Helgum	settlement in Sollefteå Municipality, Sweden	Q12813115; Q14839548					defer	No bounded inception/dissolution pair or entity remains ambiguous for DUCHY title materialization.
c_hereford	Herefordshire	Mercia	Q67531905	Herefordshire	historic county of England	Q1138494					defer	No bounded inception/dissolution pair or entity remains ambiguous for DUCHY title materialization.
c_hereti	Hereti	Georgia	Q80885136	Hereti	family name	Q101352					defer	No bounded inception/dissolution pair or entity remains ambiguous for DUCHY title materialization.
c_hertfordshire	Hertfordshire	Essex	Q67532100	Hertfordshire	historic county of England	Q1138494					defer	No bounded inception/dissolution pair or entity remains ambiguous for DUCHY title materialization.
c_hewes	Heves	Visegrad	Q855011	Heves	town in Hungary	Q13218690					defer	No bounded inception/dissolution pair or entity remains ambiguous for DUCHY title materialization.
c_hildesheim	Hildesheim	Angria	Q3185	Hildesheim	city in Lower Saxony, Germany	Q1548525; Q1549591; Q707813; Q42744322; Q134626; Q133997300					defer	No bounded inception/dissolution pair or entity remains ambiguous for DUCHY title materialization.
c_hohenau	Hohenau	Austria	Q1984240	Hohenau	City & District in Itapúa, Paraguay	Q917092; Q486972	1900				defer	No bounded inception/dissolution pair or entity remains ambiguous for DUCHY title materialization.
c_hohenberg	Hohenberg	Swabia	Q170405	Hohenberg an der Eger	municipality of Germany	Q42744322					defer	No bounded inception/dissolution pair or entity remains ambiguous for DUCHY title materialization.
c_hohenburg	Hohenburg	Nordgau	Q105037791	Hohenburg		Q253019					defer	No bounded inception/dissolution pair or entity remains ambiguous for DUCHY title materialization.
c_hohenlohe	Hohenlohe	East Franconia	Q8518	Hohenlohe	district of Baden-Württemberg, Germany	Q20738676					defer	No bounded inception/dissolution pair or entity remains ambiguous for DUCHY title materialization.
c_holland	Holland	Holland	Q55	Netherlands	one of the four autonomous countries of the Kingdom of the Netherlands; with territories in the Caribbean	Q15304003; Q6256	1795				defer	No bounded inception/dissolution pair or entity remains ambiguous for DUCHY title materialization.
c_honorias	Honorias	Bucellaria	Q5897031	Honorias	Roman province from c. 380 to 600s						defer	No bounded inception/dissolution pair or entity remains ambiguous for DUCHY title materialization.
c_hont	Hont	Nitra	Q136094458	Hont	family name	Q101352					defer	No bounded inception/dissolution pair or entity remains ambiguous for DUCHY title materialization.
c_hordalandi	Hörðaland	Gulaþingslög	Q50625	Hordaland	former county of Norway (1919–2019)	Q192299; Q83640434	1919	2019			bounded_candidate	Has structured inception and dissolution claims; verify rank/entity semantics before fact promotion.
c_hotin	Hotin	Bukovina	Q111422801	Hotin	2021 album by Kalush	Q482994					defer	No bounded inception/dissolution pair or entity remains ambiguous for DUCHY title materialization.
c_hradec	Hradec	Bohemia	Q180139	Hradec Králové	statutory city in Hradec Králové District, Hradec Králové Region, Czechia	Q15978299; Q257978; Q5153359; Q12031379; Q8452914; Q7841907; Q7819319	1225				defer	No bounded inception/dissolution pair or entity remains ambiguous for DUCHY title materialization.
c_hradyzk	Hradyzk	Pereyaslavl	Q2011635	Hradyzk	urban-type settlement in Poltava Oblast, Ukraine	Q4100864					defer	No bounded inception/dissolution pair or entity remains ambiguous for DUCHY title materialization.
c_huesca	Huesca	Aragon	Q11967	Huesca	municipality in Huesca Province, Aragon, Spain	Q2074737					defer	No bounded inception/dissolution pair or entity remains ambiguous for DUCHY title materialization.
c_huntingdonshire	Huntingdonshire	Mercia	Q67266168	Huntingdonshire	historic county of England	Q1138494					defer	No bounded inception/dissolution pair or entity remains ambiguous for DUCHY title materialization.
c_hunyad	Hunyad	Transylvania	Q37430698	Hunyadi	family name	Q101352					defer	No bounded inception/dissolution pair or entity remains ambiguous for DUCHY title materialization.
c_hvosno	Hvosno	Raška	Q6592688	Hvosno	medieval Serbian county						defer	No bounded inception/dissolution pair or entity remains ambiguous for DUCHY title materialization.
c_connacht	Hy Many	Connacht	Q4994052	Uí Maine	ancient Irish kingdom						defer	No bounded inception/dissolution pair or entity remains ambiguous for DUCHY title materialization.
c_bucuresti	Ialomita	Muntenia	Q193044	Ialomița County	county of Romania	Q1776764					defer	No bounded inception/dissolution pair or entity remains ambiguous for DUCHY title materialization.
c_iasi	Iași	Moldavia	Q46852	Iași	city and seat of Iași County in the historical region of Moldavia in north-eastern Romania	Q640364; Q34843301; Q1549591; Q1187811	1408				defer	No bounded inception/dissolution pair or entity remains ambiguous for DUCHY title materialization.
c_iviza	Ibiza	Mallorca	Q473914	Ibiza	municipality and capital of Ibiza, Balearic Islands, Spain	Q3957; Q2074737; Q515	-654				defer	No bounded inception/dissolution pair or entity remains ambiguous for DUCHY title materialization.
