candidate_parent_id	candidate_parent_name	current_parent_id	current_parent_name	expected_parent_rank	child_count	high	medium	low	span_range	child_ids	child_names	skip_fact_ids	bridge_fact_ids
title-q686965	Anhalt-Bernburg	title-q12548	Holy Roman Empire	Duchy	2	3	0	0	1303..1743	title-q1615455,title-q736029	Duchy of Mirandola; Nassau-Siegen	fact-q1615455-parent-q12548,fact-q736029-parent-q12548-1303,fact-q736029-parent-q12548-1606	fact-q686965-parent-q12548
title-q42585	Kingdom of Bohemia	title-q131964	Austrian Empire	Kingdom	2	2	0	0	1804..1866	title-q2360973,title-q699964	Archduchy of Austria; Duchy of Carniola	fact-q2360973-parent-q131964,fact-q699964-parent-q131964	fact-q42585-parent-q131964
title-q223936	Kingdom of Italy	title-q71084	First French Empire	Kingdom	2	2	0	0	1807..1815	title-q152115,title-q699923	Duchy of Warsaw; Illyrian Provinces	fact-q152115-parent-q71084,fact-q699923-parent-q71084	fact-q223936-parent-q71084
title-q71747	Duchy of Brittany	title-q70972	Kingdom of France	Duchy	2	0	2	0	987..1527	title-q2991382,title-q921473	County of La Marche; County of Provence	fact-q2991382-parent-q70972,fact-q921473-parent-q70972	fact-q71747-parent-q70972
title-q699964	Archduchy of Austria	title-q28513	Austria-Hungary	Duchy	1	1	0	0	1867..1918	title-q692946	Gorizia and Gradisca	fact-q692946-parent-q28513	fact-q699964-parent-q28513
title-q699964	Archduchy of Austria	title-q131964	Austrian Empire	Duchy	1	1	0	0	1804..1866	title-q692946	Gorizia and Gradisca	fact-q692946-parent-q131964	fact-q699964-parent-q131964
title-q693570	Duchy of Ferrara	title-q170174	Papal States	Duchy	1	1	0	0	1274..1791	title-q1122980	Comtat Venaissin	fact-q1122980-parent-q170174	fact-q693570-parent-q170174
title-q625380	Eastern Hungarian Kingdom	title-q12560	Ottoman Empire	Kingdom	1	1	0	0	1516..1696	title-q3324486	Prince-Bishopric of Montenegro	fact-q3324486-parent-q12560	fact-q625380-parent-q12560
title-q1069959	Kingdom of Imereti	title-q34266	Russian Empire	Kingdom	1	1	0	0	1809..1917	title-q62633	Grand Duchy of Finland	fact-q62633-parent-q34266	fact-q1069959-parent-q34266
title-q148499	Margraviate of Brandenburg	title-q12548	Holy Roman Empire	Duchy	1	1	0	0	1160..1806	title-q12817455	County of Nassau	fact-q12817455-parent-q12548	fact-q148499-parent-q12548
