ck_id	county	duchy	top_qid	top_label	top_description	p31	inception	dissolution	start_time	end_time	screen_status	notes
c_baden	Baden	Swabia	Q127451	Baden	commune in Morbihan, France	Q484170					defer	No bounded inception/dissolution pair or entity remains ambiguous for DUCHY title materialization.
c_bamberg	Bamberg	East Franconia	Q3936	Bamberg	town in Bavaria, Germany	Q1187811; Q253030; Q42744322; Q85631896; Q134626; Q702492					defer	No bounded inception/dissolution pair or entity remains ambiguous for DUCHY title materialization.
c_bar	Bar	Bar	Q115276	Bar	coastal town in Montenegro	Q3957; Q515; Q1200957					defer	No bounded inception/dissolution pair or entity remains ambiguous for DUCHY title materialization.
c_baranya	Baranya	Somogy	Q186195	Baranya County	county of Hungary	Q188604	1950				defer	No bounded inception/dissolution pair or entity remains ambiguous for DUCHY title materialization.
c_barcasag	Barcaság	Transylvania	Q592762	Țara Bârsei	historic and ethnographic area in Transylvania, Romania	Q190429					defer	No bounded inception/dissolution pair or entity remains ambiguous for DUCHY title materialization.
c_barcelona	Barcelona	Barcelona	Q1492	Barcelona	city in Catalonia, Spain	Q33146843; Q515					defer	No bounded inception/dissolution pair or entity remains ambiguous for DUCHY title materialization.
c_bari	Bari	Apulia	Q3519	Bari	Italian city, capital of the Apulia region	Q747074; Q515; Q1549591					defer	No bounded inception/dissolution pair or entity remains ambiguous for DUCHY title materialization.
c_barlad	Bârlad	Moldavia	Q335868	Bârlad	city in Vaslui County, Romania	Q640364	1401				defer	No bounded inception/dissolution pair or entity remains ambiguous for DUCHY title materialization.
c_bars	Bars	Nitra	Q733164	Bars	commune in Gers, France	Q484170					defer	No bounded inception/dissolution pair or entity remains ambiguous for DUCHY title materialization.
c_bartenstein	Bartia	Prussia	Q462968	Bartia	historical region	Q1620908					defer	No bounded inception/dissolution pair or entity remains ambiguous for DUCHY title materialization.
c_bastia	Bastia	Corsica	Q134698	Bastia	French commune, city and prefecture of Haute-Corse, Corsica	Q484170					defer	No bounded inception/dissolution pair or entity remains ambiguous for DUCHY title materialization.
c_bayeux	Bayeux	Normandy	Q183910	Bayeux	commune in Calvados, France	Q484170					defer	No bounded inception/dissolution pair or entity remains ambiguous for DUCHY title materialization.
c_bearn	Béarn	Armagnac	Q213763	Béarn	former province of France	Q209495; Q3502482	1620	1790			bounded_candidate	Has structured inception and dissolution claims; verify rank/entity semantics before fact promotion.
c_beaumont	Beaumont	Valois	Q128282	Beaumont	city and county seat of Jefferson County, State of Texas, United States	Q1093829; Q1549591; Q62049	1835				defer	No bounded inception/dissolution pair or entity remains ambiguous for DUCHY title materialization.
c_bedford	Bedford	Essex	Q208257	Bedford	county town of Bedfordshire, England	Q1357964; Q7897276; Q18511725					defer	No bounded inception/dissolution pair or entity remains ambiguous for DUCHY title materialization.
c_bekes	Békés	Bihar	Q88434217	Békés	family name	Q101352					defer	No bounded inception/dissolution pair or entity remains ambiguous for DUCHY title materialization.
c_bellac	Bellac	Bourbon	Q214597	Bellac	commune in Haute-Vienne, France	Q484170					defer	No bounded inception/dissolution pair or entity remains ambiguous for DUCHY title materialization.
