ck_id	county	duchy	top_qid	top_label	top_description	p31	inception	dissolution	start_time	end_time	screen_status	notes
c_jersika	Jersika	Latgalia	Q2025603	Jersika	village in Latvia	Q22580836; Q16355778					defer	No bounded inception/dissolution pair or entity remains ambiguous for DUCHY title materialization.
c_jihlava	Jihlava	Moravia	Q183111	Jihlava	city in Czechia	Q15978299; Q257978; Q820254; Q5153359; Q12031379; Q8452914; Q7841907; Q7819319	1233				defer	No bounded inception/dissolution pair or entity remains ambiguous for DUCHY title materialization.
c_julevadno	Julevädno	Vuovdisámieana	Q857676	Lule River	river in Sweden	Q4022					defer	No bounded inception/dissolution pair or entity remains ambiguous for DUCHY title materialization.
c_juterbog	Jüterbog	Lausitz	Q11731908	Jüterbog railway station	railway station in Jüterbog, Germany	Q55488					defer	No bounded inception/dissolution pair or entity remains ambiguous for DUCHY title materialization.
c_kainuu	Kainuu	Pohjanmaa	Q5694	Kainuu	region of Finland	Q193512	1994				defer	No bounded inception/dissolution pair or entity remains ambiguous for DUCHY title materialization.
c_kaiserslautern	Kaiserslautern	West Franconia	Q3758	Kaiserslautern	city in Rhineland-Palatinate, Germany	Q42744322; Q85632032; Q134626					defer	No bounded inception/dissolution pair or entity remains ambiguous for DUCHY title materialization.
c_kakheti	Kakheti	Georgia	Q169674	Kakheti	region (mkhare) of Georgia	Q1210300					defer	No bounded inception/dissolution pair or entity remains ambiguous for DUCHY title materialization.
c_kakisalmi	Kakisalmi	Karelia	Q7977	Priozersk	town in Leningrad Oblast, Russia	Q856076; Q17468533; Q7930989					defer	No bounded inception/dissolution pair or entity remains ambiguous for DUCHY title materialization.
c_kaliska	Kalisz	Polania	Q52842	Kalisz	City with powiat rights of Poland	Q925381; Q515; Q1549591; Q13416557					defer	No bounded inception/dissolution pair or entity remains ambiguous for DUCHY title materialization.
c_kalliopolis	Kallipolis	Thrace	Q11910969	Callipolis	ancient Greek city near Taranto, modern Gallipoli, Italy	Q15661340; Q148837					defer	No bounded inception/dissolution pair or entity remains ambiguous for DUCHY title materialization.
c_kammersberg	Kammersberg	Carinthia	Q69809288	Kammersberg	cadastral municipality in Murau District	Q17376095					defer	No bounded inception/dissolution pair or entity remains ambiguous for DUCHY title materialization.
c_karachev	Karachev	Karachev	Q145115	Karachev	city in Bryansk Oblast, Russia	Q7930989	1146				defer	No bounded inception/dissolution pair or entity remains ambiguous for DUCHY title materialization.
c_karasjohka	Kárášjohka	Duortnoseatnu	Q1825	Karasjok Municipality	municipality in Finnmark, Norway	Q755707	1866				defer	No bounded inception/dissolution pair or entity remains ambiguous for DUCHY title materialization.
c_kargopol	Kargopol	Chudia	Q145261	Kargopol	town in Arkhangelsk Oblast, Russia	Q7930989	1380				defer	No bounded inception/dissolution pair or entity remains ambiguous for DUCHY title materialization.
c_karnten	Kärnten	Carinthia	Q37985	Carinthia	federal state in the South of Austria	Q261543					defer	No bounded inception/dissolution pair or entity remains ambiguous for DUCHY title materialization.
c_kartli	Kartli	Tao-Klarjeti	Q459875	Kartli	historical region in central-to-eastern Georgia	Q1620908					defer	No bounded inception/dissolution pair or entity remains ambiguous for DUCHY title materialization.
c_kassel	Kassel	Hesse	Q2865	Kassel	city in Hesse, Germany	Q1549591; Q1180262; Q253030; Q42744322; Q61980648; Q134626	1330				defer	No bounded inception/dissolution pair or entity remains ambiguous for DUCHY title materialization.
c_kempten	Kempten	Augsburg	Q3994	Kempten	district-free city in Allgäu, Swabia, Bavaria, Germany	Q253030; Q85631896; Q42744322					defer	No bounded inception/dissolution pair or entity remains ambiguous for DUCHY title materialization.
c_kent	Kent	Kent	Q67479626	Kent	historic county of England	Q1138494					defer	No bounded inception/dissolution pair or entity remains ambiguous for DUCHY title materialization.
c_kernave	Kernave	Lithuania	Q215315	Kernavė	city in Lithuania	Q23413; Q3957; Q744099					defer	No bounded inception/dissolution pair or entity remains ambiguous for DUCHY title materialization.
c_keve	Keve	Temes	Q1107982	Keve	Hungarian male given name	Q12308941					defer	No bounded inception/dissolution pair or entity remains ambiguous for DUCHY title materialization.
c_kevrola	Kevrola	Ustyug	Q4218821	Kevrola	human settlement in Pinezhsky District, Arkhangelsk Oblast, Russia	Q5084; Q486972					defer	No bounded inception/dissolution pair or entity remains ambiguous for DUCHY title materialization.
c_khachen	Khachen	Greater Armenia	Q16383233	Melikdom of Khachen	medieval Armenian feudal entity in Karabakh	Q770575					defer	No bounded inception/dissolution pair or entity remains ambiguous for DUCHY title materialization.
c_kholmogory	Kholmogory	Biarmia	Q681521	Kholmogory	selo in Kholmogorsky District, Arkhangelsk Oblast, Russia	Q532					defer	No bounded inception/dissolution pair or entity remains ambiguous for DUCHY title materialization.
c_kinda	Kinda	Östergötland	Q515299	Kinda Municipality	municipality in Östergötland County, Sweden	Q127448	1974				defer	No bounded inception/dissolution pair or entity remains ambiguous for DUCHY title materialization.
c_kintus	Kintuš	Guoládat	Q95501206	Kintusamo	genus of insects	Q16521					defer	No bounded inception/dissolution pair or entity remains ambiguous for DUCHY title materialization.
c_kirillov	Kirillov	Chudia	Q153453	Kirillov	town in Vologda Oblast, Russia	Q7930989	1397				defer	No bounded inception/dissolution pair or entity remains ambiguous for DUCHY title materialization.
c_kitka	Kitka	Giemajohka	Q37434764	Kitka	family name	Q101352					defer	No bounded inception/dissolution pair or entity remains ambiguous for DUCHY title materialization.
c_kittila	Kittila	Vuovdisámieana	Q593942	Kittilä	municipality in the region of Lapland in Finland	Q856076	1854				defer	No bounded inception/dissolution pair or entity remains ambiguous for DUCHY title materialization.
c_klarjeti	Klarjeti	Tao-Klarjeti	Q2557240	Klarjeti	historical region	Q4131030					defer	No bounded inception/dissolution pair or entity remains ambiguous for DUCHY title materialization.
c_kletsk	Kletsk	Pinsk	Q200937	Klyetsk	city in Belarus	Q79324274					defer	No bounded inception/dissolution pair or entity remains ambiguous for DUCHY title materialization.
c_klingenberg	Klingenberg	West Franconia	Q110490185	Klingenberg	German article in: Album der Rittergüter und Schlösser im Königreiche Sachsen II. Section, 1856	Q191067					defer	No bounded inception/dissolution pair or entity remains ambiguous for DUCHY title materialization.
c_knin	Knin	Dalmatia	Q208514	Knin	town and settlement in Šibenik-Knin County, Croatia	Q15105893					defer	No bounded inception/dissolution pair or entity remains ambiguous for DUCHY title materialization.
