ck_id	county	duchy	top_qid	top_label	top_description	p31	inception	dissolution	start_time	end_time	screen_status	notes
c_braila	Brăila	Muntenia	Q188478	Brăila	city in Brăila County, Muntenia, Romania	Q640364; Q34843301; Q1549591; Q2264924	1368				defer	No bounded inception/dissolution pair or entity remains ambiguous for DUCHY title materialization.
c_brandenburg	Brandenburg	Nordmark	Q3931	Brandenburg an der Havel	city in Brandenburg, Germany	Q61793478; Q253030; Q707813; Q42744322					defer	No bounded inception/dissolution pair or entity remains ambiguous for DUCHY title materialization.
c_branicevo	Braničevo	Vidin	Q861539	Braničevo District	District of Serbia	Q648681	1992				defer	No bounded inception/dissolution pair or entity remains ambiguous for DUCHY title materialization.
c_braslau	Braslau	Lithuania	Q628623	Braslaw	city in Belarus	Q79324274	1065				defer	No bounded inception/dissolution pair or entity remains ambiguous for DUCHY title materialization.
c_brunswick	Braunschweig	Ostfalen	Q2773	Brunswick	city in Lower Saxony, Germany	Q1549591; Q253030; Q707813; Q42744322; Q85635929; Q133997300	861				defer	No bounded inception/dissolution pair or entity remains ambiguous for DUCHY title materialization.
c_breifne	Breifne	Connacht	Q67219625	Breifne	Journal devoted to the territory formerly comprising the kingdom of Breifne	Q737498	1958				defer	No bounded inception/dissolution pair or entity remains ambiguous for DUCHY title materialization.
c_breisgau	Breisgau	Alsace	Q690971	Breisgau	region in the southwest of Baden-Württemberg with the center of Freiburg im Breisgau	Q82794					defer	No bounded inception/dissolution pair or entity remains ambiguous for DUCHY title materialization.
c_bremen	Bremen	Angria	Q24879	Bremen	city in the Bremen federated state, Germany	Q1187811; Q1549591; Q707813; Q42744322; Q85635638					defer	No bounded inception/dissolution pair or entity remains ambiguous for DUCHY title materialization.
c_brene	Brene	Lausitz	Q851374	Brenelle	commune in Aisne, France	Q484170					defer	No bounded inception/dissolution pair or entity remains ambiguous for DUCHY title materialization.
c_brescia	Brescia	Lombardy	Q6221	Brescia	Italian city in Lombardy	Q747074; Q515; Q1549591					defer	No bounded inception/dissolution pair or entity remains ambiguous for DUCHY title materialization.
c_breslau	Breslau	Silesia	Q1799	Wrocław	city in the Lower Silesian Voivodeship, southwestern Poland, and historical capital of Silesia	Q925381; Q515; Q707813; Q1549591	1214				defer	No bounded inception/dissolution pair or entity remains ambiguous for DUCHY title materialization.
