ck_id	county	duchy	kingdom_867	kingdom_1066	kingdom_1178	empire_867	empire_1066	empire_1178	baronies_867	baronies_1066	baronies_1178	development	special_buildings	culture_867	culture_1066	culture_1178	religion_867	religion_1066	religion_1178	names	anchor	source_url
c_alcaniz		Alcaniz	Aragon	Valencia	Aragon	Aragon	Hispania	Hispania	Hispania	3	8	9	24		Andalusian	Andalusian	Andalusian	Mozarabism	Muwalladism	Muwalladism	Alcaniz	https://ck3.paradoxwikis.com/List_of_counties#Alcaniz
c_alcaraz		Alcaraz	Murcia	Valencia	Valencia	Valencia	Hispania	Hispania	Hispania	4	8	11	24		Andalusian	Andalusian	Andalusian	Muwalladism	Muwalladism	Muwalladism	Alcaraz	https://ck3.paradoxwikis.com/List_of_counties#Alcaraz
c_alen_on		AlenÃ§on	Normandy	France	France	France	Francia	Francia	Francia	3	5	8	24		French	Norman	Norman	Catholicism	Catholicism	Catholicism	AlenÃ§on	https://ck3.paradoxwikis.com/List_of_counties#Alen%C3%83%C2%A7on
c_algeciras		Algeciras	Seville	Andalusia	Andalusia	Andalusia	Hispania	Hispania	Hispania	3	11	15	17	Rock of Gibraltar	Andalusian	Andalusian	Andalusian	Muwalladism	Muwalladism	Muwalladism	Algeciras	https://ck3.paradoxwikis.com/List_of_counties#Algeciras
c_alicante		Alicante	ValÃ¨ncia	Valencia	Valencia	Valencia	Hispania	Hispania	Hispania	2	8	11	24		Andalusian	Andalusian	Andalusian	Muwalladism	Muwalladism	Muwalladism	Alicante	https://ck3.paradoxwikis.com/List_of_counties#Alicante
c_almeria		Almeria	Granada	Andalusia	Andalusia	Andalusia	Hispania	Hispania	Hispania	3	10	14	16		Andalusian	Andalusian	Andalusian	Muwalladism	Muwalladism	Muwalladism	Almeria	https://ck3.paradoxwikis.com/List_of_counties#Almeria
c_alpsee		Alpsee	Augsburg	Bavaria	Bavaria	Bavaria	Germania	Holy Roman Empire	Holy Roman Empire	3	5	8	24		Swabian	Swabian	Swabian	Catholicism	Catholicism	Catholicism	Alpsee	https://ck3.paradoxwikis.com/List_of_counties#Alpsee
c_alto_aragon		Alto Aragon	Aragon	Valencia	Aragon	Aragon	Hispania	Hispania	Hispania	3	6	9	24	Grand Temple	Basque	Aragonese	Aragonese	Catholicism	Catholicism	Catholicism	Alto_Aragon	https://ck3.paradoxwikis.com/List_of_counties#Alto_Aragon
c_aluksne		Aluksne	Latgalia	Lithuania	Lithuania	Lithuania	Baltic Empire	Baltic Empire	Baltic Empire	2	2	5	8		Latgalian	Latgalian	Latgalian	Vidilism	Vidilism	Vidilism	Aluksne	https://ck3.paradoxwikis.com/List_of_counties#Aluksne
c_amaya		Amaya	Cantabria	Castile	Castile	Castile	Hispania	Hispania	Hispania	3	6	9	24		Castilian	Castilian	Castilian	Catholicism	Catholicism	Catholicism	Amaya	https://ck3.paradoxwikis.com/List_of_counties#Amaya
c_amiens		Amiens	Valois	France	France	France	Francia	Francia	Francia	3	8	11	15		French	French	French	Catholicism	Catholicism	Catholicism	Amiens	https://ck3.paradoxwikis.com/List_of_counties#Amiens
c_amstetten		Amstetten	Austria	Bavaria	Bavaria	Bavaria	Germania	Holy Roman Empire	Holy Roman Empire	2	5	8	24		Bavarian	Bavarian	Bavarian	Catholicism	Catholicism	Catholicism	Amstetten	https://ck3.paradoxwikis.com/List_of_counties#Amstetten
c_ancona		Ancona	Ancona	Romagna	Romagna	Romagna	Italia	Italia	Italia	4	7	10	14		Italian	Italian	Italian	Catholicism	Catholicism	Catholicism	Ancona	https://ck3.paradoxwikis.com/List_of_counties#Ancona
c_ngermanland		Ã ngermanland	Norrland	Sweden	Sweden	Sweden	Scandinavia	Scandinavia	Scandinavia	4	2	4	24		Norse	Swedish	Swedish	ÃsatrÃº	ÃsatrÃº	Catholicism	Ãngermanland	https://ck3.paradoxwikis.com/List_of_counties#%C3%83%C2%85ngermanland
c_angoul_me		AngoulÃªme	Aquitaine	Aquitaine	France	France	Francia	Francia	Francia	3	6	9	24		Occitan	Occitan	Occitan	Catholicism	Catholicism	Catholicism	AngoulÃªme	https://ck3.paradoxwikis.com/List_of_counties#Angoul%C3%83%C2%AAme
c_angus		Angus	Albany	Scotland	Scotland	Scotland	Britannia	Britannia	Britannia	3	2	8	20		Pictish	Gaelic	Scots	Catholicism	Catholicism	Catholicism	Angus	https://ck3.paradoxwikis.com/List_of_counties#Angus
c_anjou		Anjou	Anjou	France	France	France	Francia	Francia	Francia	5	5	8	15		French	French	French	Catholicism	Catholicism	Catholicism	Anjou	https://ck3.paradoxwikis.com/List_of_counties#Anjou
c_annandale		Annandale	Strathclyde	Scotland	Scotland	Scotland	Britannia	Britannia	Britannia	2	2	8	20		Cumbrian	Cumbrian	Scots	Catholicism	Catholicism	Catholicism	Annandale	https://ck3.paradoxwikis.com/List_of_counties#Annandale
c_ansbach		Ansbach	East Franconia	East Francia	East Francia	East Francia	Germania	Holy Roman Empire	Holy Roman Empire	3	5	8	24		Franconian	Franconian	Franconian	Catholicism	Catholicism	Catholicism	Ansbach	https://ck3.paradoxwikis.com/List_of_counties#Ansbach
c_antipatreia		Antipatreia	Dyrrachion	Epirus	Epirus	Epirus	Byzantine Empire	Byzantine Empire	Byzantine Empire	5	6	10	18		Albanian	Albanian	Albanian	Orthodoxy	Orthodoxy	Orthodoxy	Antipatreia	https://ck3.paradoxwikis.com/List_of_counties#Antipatreia
c_antwerpen		Antwerpen	Brabant	Lotharingia	Lotharingia	Lotharingia	Germania	Holy Roman Empire	Holy Roman Empire	3	7	10	24		Dutch	Dutch	Dutch	Catholicism	Catholicism	Catholicism	Antwerpen	https://ck3.paradoxwikis.com/List_of_counties#Antwerpen
c_aosta		Aosta	Savoy	Burgundy	Burgundy	Burgundy	Francia	Francia	Francia	2	6	10	24		Cisalpine	Cisalpine	Cisalpine	Catholicism	Catholicism	Catholicism	Aosta	https://ck3.paradoxwikis.com/List_of_counties#Aosta
c_apahunik		Apahunik	Vaspurakan	Armenia	Armenia	Armenia	Byzantine Empire	Byzantine Empire	Byzantine Empire	5	5	8	24		Armenian	Armenian	Armenian	Apostolic	Apostolic	Apostolic	Apahunik	https://ck3.paradoxwikis.com/List_of_counties#Apahunik
c_apulia		Apulia	Apulia	Sicily	Sicily	Sicily	Byzantine Empire	Byzantine Empire	Italia	4	10	13	15		Lombard	Sicilian	Sicilian	Catholicism	Catholicism	Catholicism	Apulia	https://ck3.paradoxwikis.com/List_of_counties#Apulia
c_aquileia		Aquileia	Friuli	Italy	Italy	Italy	Italia	Italia	Italia	4	5	8	24		Cisalpine	Cisalpine	Cisalpine	Catholicism	Catholicism	Catholicism	Aquileia	https://ck3.paradoxwikis.com/List_of_counties#Aquileia
c_arad		Arad	Temes	Hungary	Hungary	Hungary	Carpathia	Carpathia	Carpathia	2	2	8	24		Avar	Hungarian	Hungarian	Tengriism	Catholicism	Catholicism	Arad	https://ck3.paradoxwikis.com/List_of_counties#Arad
c_arbanon		Arbanon	Dyrrachion	Epirus	Epirus	Epirus	Byzantine Empire	Byzantine Empire	Byzantine Empire	4	6	10	18		Albanian	Albanian	Albanian	Orthodoxy	Orthodoxy	Orthodoxy	Arbanon	https://ck3.paradoxwikis.com/List_of_counties#Arbanon
c_arborea		Arborea	Sardinia	Sardinia	Sardinia	Sardinia	Italia	Italia	Italia	2	4	7	20		Sardinian	Sardinian	Sardinian	Orthodoxy	Catholicism	Catholicism	Arborea	https://ck3.paradoxwikis.com/List_of_counties#Arborea
c_arezzo		Arezzo	Tuscany	Italy	Italy	Italy	Italia	Italia	Italia	3	8	11	15		Italian	Italian	Italian	Catholicism	Catholicism	Catholicism	Arezzo	https://ck3.paradoxwikis.com/List_of_counties#Arezzo
c_argyll		Argyll	Isles	Scotland	Scotland	Scotland	Britannia	Britannia	Britannia	4	2	8	20		Gaelic	Gaelic	Gaelic	Insularism	Catholicism	Catholicism	Argyll	https://ck3.paradoxwikis.com/List_of_counties#Argyll
c_armagnac		Armagnac	Armagnac	Aquitaine	France	France	Francia	Francia	Francia	4	5	8	24		Occitan	Occitan	Occitan	Catholicism	Catholicism	Catholicism	Armagnac	https://ck3.paradoxwikis.com/List_of_counties#Armagnac
c_arnheim		Arnheim	Gelre	Frisia	Frisia	Frisia	Germania	Holy Roman Empire	Holy Roman Empire	3	5	8	24		Dutch	Dutch	Dutch	Catholicism	Catholicism	Catholicism	Arnheim	https://ck3.paradoxwikis.com/List_of_counties#Arnheim
c_arnsberg		Arnsberg	Lower Lotharingia	Lotharingia	Lotharingia	Lotharingia	Germania	Holy Roman Empire	Holy Roman Empire	2	8	11	15		Franconian	Franconian	Franconian	Catholicism	Catholicism	Catholicism	Arnsberg	https://ck3.paradoxwikis.com/List_of_counties#Arnsberg
c_astorga		Astorga	Galicia	Galicia	Galicia	LeÃ³n	Hispania	Hispania	Hispania	5	5	8	24	Roman Walls of Lugo	Galician	Galician	Galician	Catholicism	Catholicism	Catholicism	Astorga	https://ck3.paradoxwikis.com/List_of_counties#Astorga
c_asturias_de_oviedo		Asturias de Oviedo	Asturias	Asturias	LeÃ³n	LeÃ³n	Hispania	Hispania	Hispania	4	3	8	24		Asturleonese	Asturleonese	Asturleonese	Catholicism	Catholicism	Catholicism	Asturias_de_Oviedo	https://ck3.paradoxwikis.com/List_of_counties#Asturias_de_Oviedo
c_asturias_de_santillana		Asturias de Santillana	Cantabria	Castile	Castile	Castile	Hispania	Hispania	Hispania	4	6	9	24		Castilian	Castilian	Castilian	Catholicism	Catholicism	Catholicism	Asturias_de_Santillana	https://ck3.paradoxwikis.com/List_of_counties#Asturias_de_Santillana
c_athlone		Athlone	Meath	Ireland	Ireland	Ireland	Britannia	Britannia	Britannia	3	2	6	14		Irish	Irish	Irish	Insularism	Insularism	Insularism	Athlone	https://ck3.paradoxwikis.com/List_of_counties#Athlone
c_atholl		Atholl	Albany	Scotland	Scotland	Scotland	Britannia	Britannia	Britannia	2	2	8	20		Gaelic	Gaelic	Gaelic	Catholicism	Catholicism	Catholicism	Atholl	https://ck3.paradoxwikis.com/List_of_counties#Atholl
c_attica		Attica	Athens	Hellas	Hellas	Hellas	Byzantine Empire	Byzantine Empire	Byzantine Empire	3	10	15	27	Temple of the Theotokos	Greek	Greek	Greek	Orthodoxy	Orthodoxy	Orthodoxy	Attica	https://ck3.paradoxwikis.com/List_of_counties#Attica
c_augsburg		Augsburg	Augsburg	Bavaria	Bavaria	Bavaria	Germania	Holy Roman Empire	Holy Roman Empire	4	8	12	22		Swabian	Swabian	Swabian	Catholicism	Catholicism	Catholicism	Augsburg	https://ck3.paradoxwikis.com/List_of_counties#Augsburg
c_aunis		Aunis	Aquitaine	Aquitaine	France	France	Francia	Francia	Francia	2	6	9	24		Occitan	Occitan	Occitan	Catholicism	Catholicism	Catholicism	Aunis	https://ck3.paradoxwikis.com/List_of_counties#Aunis
c_austr_ag_ir		Austr AgÃ°ir	EgÃ°afylki	Norway	Norway	Norway	Scandinavia	Scandinavia	Scandinavia	3	2	7	13		Norse	Norwegian	Norwegian	ÃsatrÃº	Catholicism	Catholicism	Austr_AgÃ°ir	https://ck3.paradoxwikis.com/List_of_counties#Austr_Ag%C3%83%C2%B0ir
c_austrland		Austrland	Iceland	Norway	Norway	Norway	Scandinavia	Scandinavia	Scandinavia	2	0	0	4		Norse	Norse	Norwegian	ÃsatrÃº	Catholicism	Catholicism	Austrland	https://ck3.paradoxwikis.com/List_of_counties#Austrland
c_auvergne		Auvergne	Auvergne	Aquitaine	France	France	Francia	Francia	Francia	3	5	8	24		Occitan	Occitan	Occitan	Catholicism	Catholicism	Catholicism	Auvergne	https://ck3.paradoxwikis.com/List_of_counties#Auvergne
c_auxerre		Auxerre	Burgundy	France	France	France	Francia	Francia	Francia	3	5	8	24		French	French	French	Catholicism	Catholicism	Catholicism	Auxerre	https://ck3.paradoxwikis.com/List_of_counties#Auxerre
c_avalois		Avalois	Burgundy	France	France	France	Francia	Francia	Francia	2	5	8	24		French	French	French	Catholicism	Catholicism	Catholicism	Avalois	https://ck3.paradoxwikis.com/List_of_counties#Avalois
c_aveiro		Aveiro	Coimbra	Galicia	Galicia	Portugal	Hispania	Hispania	Hispania	3	5	8	14		Andalusian	Galician	Portuguese	Mozarabism	Mozarabism	Mozarabism	Aveiro	https://ck3.paradoxwikis.com/List_of_counties#Aveiro
c_avila		Avila	LeÃ³n	Asturias	LeÃ³n	LeÃ³n	Hispania	Hispania	Hispania	4	3	8	24		Andalusian	Asturleonese	Asturleonese	Mozarabism	Mozarabism	Mozarabism	Avila	https://ck3.paradoxwikis.com/List_of_counties#Avila
c_aviovara		Aviovara	Duortnoseatnu	SÃ¡pmi	SÃ¡pmi	SÃ¡pmi	Scandinavia	Scandinavia	Scandinavia	3	0	0	0		Sami	Sami	Sami	Ukonusko	Ukonusko	Ukonusko	Aviovara	https://ck3.paradoxwikis.com/List_of_counties#Aviovara
c_avlonas		Avlonas	Dyrrachion	Epirus	Epirus	Epirus	Byzantine Empire	Byzantine Empire	Byzantine Empire	2	6	10	18		Albanian	Albanian	Albanian	Orthodoxy	Orthodoxy	Orthodoxy	Avlonas	https://ck3.paradoxwikis.com/List_of_counties#Avlonas
c_avranches		Avranches	Normandy	France	France	France	Francia	Francia	Francia	3	5	8	24		French	Norman	Norman	Catholicism	Catholicism	Catholicism	Avranches	https://ck3.paradoxwikis.com/List_of_counties#Avranches
c_ayrshire		Ayrshire	Strathclyde	Scotland	Scotland	Scotland	Britannia	Britannia	Britannia	3	2	8	20		Cumbrian	Gaelic	Gaelic	Catholicism	Catholicism	Catholicism	Ayrshire	https://ck3.paradoxwikis.com/List_of_counties#Ayrshire
c_aytos		Aytos	Moesia	Bulgaria	Bulgaria	Bulgaria	Byzantine Empire	Byzantine Empire	Byzantine Empire	3	5	8	24		Bulgarian	Bulgarian	Bulgarian	Orthodoxy	Orthodoxy	Orthodoxy	Aytos	https://ck3.paradoxwikis.com/List_of_counties#Aytos
c_azysia		Azysia	Sebasteia	Pontus	Pontus	Rum	Byzantine Empire	Byzantine Empire	Byzantine Empire	5	6	9	18		Greek	Greek	Turkmen	Orthodoxy	Orthodoxy	Maturidism	Azysia	https://ck3.paradoxwikis.com/List_of_counties#Azysia
c_babruysk		Babruysk	Pinsk	White Rus'	White Rus'	White Rus'	Russia	Russia	Russia	4	2	5	8		Russian	Russian	Russian	Slovianska Pravda	Orthodoxy	Orthodoxy	Babruysk	https://ck3.paradoxwikis.com/List_of_counties#Babruysk
c_bacs		Bacs	Bacs	Hungary	Hungary	Hungary	Carpathia	Carpathia	Carpathia	2	2	8	24		Avar	Hungarian	Hungarian	Tengriism	Catholicism	Catholicism	Bacs	https://ck3.paradoxwikis.com/List_of_counties#Bacs
c_badajoz		Badajoz	Badajoz	Badajoz	Badajoz	Badajoz	Hispania	Hispania	Hispania	3	8	11	24		Andalusian	Andalusian	Andalusian	Muwalladism	Muwalladism	Muwalladism	Badajoz	https://ck3.paradoxwikis.com/List_of_counties#Badajoz
c_baden		Baden	Swabia	East Francia	East Francia	East Francia	Germania	Holy Roman Empire	Holy Roman Empire	3	5	8	24		Swabian	Swabian	Swabian	Catholicism	Catholicism	Catholicism	Baden	https://ck3.paradoxwikis.com/List_of_counties#Baden
c_bagrewand		Bagrewand	Greater Armenia	Armenia	Armenia	Armenia	Byzantine Empire	Byzantine Empire	Byzantine Empire	4	5	8	24		Armenian	Armenian	Armenian	Apostolic	Apostolic	Apostolic	Bagrewand	https://ck3.paradoxwikis.com/List_of_counties#Bagrewand
c_bamberg		Bamberg	East Franconia	East Francia	East Francia	East Francia	Germania	Holy Roman Empire	Holy Roman Empire	4	5	8	24		Franconian	Franconian	Franconian	Catholicism	Catholicism	Catholicism	Bamberg	https://ck3.paradoxwikis.com/List_of_counties#Bamberg
c_bar		Bar	Bar	Lotharingia	Lotharingia	Lotharingia	Germania	Holy Roman Empire	Holy Roman Empire	3	5	8	24		French	French	French	Catholicism	Catholicism	Catholicism	Bar	https://ck3.paradoxwikis.com/List_of_counties#Bar
c_baranya		Baranya	Somogy	Hungary	Hungary	Hungary	Carpathia	Carpathia	Carpathia	4	2	8	24		Avar	Hungarian	Hungarian	Catholicism	Catholicism	Catholicism	Baranya	https://ck3.paradoxwikis.com/List_of_counties#Baranya
c_barcas_g		BarcasÃ¡g	Transylvania	Hungary	Hungary	Hungary	Carpathia	Carpathia	Carpathia	4	2	8	24		Avar	Hungarian	Hungarian	Tengriism	Catholicism	Catholicism	BarcasÃ¡g	https://ck3.paradoxwikis.com/List_of_counties#Barcas%C3%83%C2%A1g
c_barcelona		Barcelona	Barcelona	Aquitaine	Aragon	Aragon	Francia	Hispania	Hispania	5	5	9	24	Drassanes/University	Catalan	Catalan	Catalan	Catholicism	Catholicism	Catholicism	Barcelona	https://ck3.paradoxwikis.com/List_of_counties#Barcelona
c_bari		Bari	Apulia	Sicily	Sicily	Sicily	Byzantine Empire	Byzantine Empire	Italia	3	8	11	15		Lombard	Sicilian	Sicilian	Catholicism	Catholicism	Catholicism	Bari	https://ck3.paradoxwikis.com/List_of_counties#Bari
c_b_rlad		BÃ¢rlad	Moldavia	Moldavia	Moldavia	Moldavia	Carpathia	Carpathia	Carpathia	3	2	5	8	Grand Temple	Vlach	Vlach	Vlach	Orthodoxy	Orthodoxy	Orthodoxy	BÃ¢rlad	https://ck3.paradoxwikis.com/List_of_counties#B%C3%83%C2%A2rlad
c_bars		Bars	Nitra	Great Moravia	Hungary	Hungary	West-Slavia	Carpathia	Carpathia	2	4	8	13		Slovien	Slovien	Slovien	Catholicism	Catholicism	Catholicism	Bars	https://ck3.paradoxwikis.com/List_of_counties#Bars
c_bartia		Bartia	Prussia	Lithuania	Lithuania	Lithuania	Baltic Empire	Baltic Empire	Baltic Empire	4	2	5	8		Prussian	Prussian	Prussian	Vidilism	Vidilism	Vidilism	Bartia	https://ck3.paradoxwikis.com/List_of_counties#Bartia
c_bastia		Bastia	Corsica	Sardinia	Sardinia	Sardinia	Italia	Italia	Italia	2	4	7	20		Sardinian	Sardinian	Sardinian	Catholicism	Catholicism	Catholicism	Bastia	https://ck3.paradoxwikis.com/List_of_counties#Bastia
c_bayeux		Bayeux	Normandy	France	France	France	Francia	Francia	Francia	3	5	8	24		French	Norman	Norman	Catholicism	Catholicism	Catholicism	Bayeux	https://ck3.paradoxwikis.com/List_of_counties#Bayeux
c_b_arn		BÃ©arn	Armagnac	Aquitaine	France	France	Francia	Francia	Francia	3	5	8	24		Basque	Basque	Basque	Catholicism	Catholicism	Catholicism	BÃ©arn	https://ck3.paradoxwikis.com/List_of_counties#B%C3%83%C2%A9arn
c_beaumont		Beaumont	Valois	France	France	France	Francia	Francia	Francia	4	8	11	15		French	French	French	Catholicism	Catholicism	Catholicism	Beaumont	https://ck3.paradoxwikis.com/List_of_counties#Beaumont
c_bedford		Bedford	Essex	England	England	England	Britannia	Britannia	Britannia	3	6	9	14		Anglo-Saxon	Anglo-Saxon	English	Catholicism	Catholicism	Catholicism	Bedford	https://ck3.paradoxwikis.com/List_of_counties#Bedford
c_b_k_s		BÃ©kÃ©s	Bihar	Hungary	Hungary	Hungary	Carpathia	Carpathia	Carpathia	3	2	8	24		Avar	Hungarian	Hungarian	Tengriism	Catholicism	Catholicism	BÃ©kÃ©s	https://ck3.paradoxwikis.com/List_of_counties#B%C3%83%C2%A9k%C3%83%C2%A9s
c_bellac		Bellac	Bourbon	Aquitaine	France	France	Francia	Francia	Francia	2	5	8	24		Occitan	Occitan	Occitan	Catholicism	Catholicism	Catholicism	Bellac	https://ck3.paradoxwikis.com/List_of_counties#Bellac
c_beloozero		Beloozero	Vepsia	Novgorod	Novgorod	Novgorod	Russia	Russia	Russia	3	0	2	5		Vepsian	Vepsian	Vepsian	Ukonusko	Ukonusko	Ukonusko	Beloozero	https://ck3.paradoxwikis.com/List_of_counties#Beloozero
c_belz		Belz	Cherven Cities	Galicia-Volhynia	Galicia-Volhynia	Galicia-Volhynia	West-Slavia	West-Slavia	West-Slavia	2	2	7	24		Russian	Russian	Russian	Slovianska Pravda	Orthodoxy	Orthodoxy	Belz	https://ck3.paradoxwikis.com/List_of_counties#Belz
c_benavente		Benavente	LeÃ³n	Asturias	LeÃ³n	LeÃ³n	Hispania	Hispania	Hispania	2	3	8	24		Asturleonese	Asturleonese	Asturleonese	Catholicism	Catholicism	Catholicism	Benavente	https://ck3.paradoxwikis.com/List_of_counties#Benavente
c_benevento		Benevento	Benevento	Sicily	Sicily	Sicily	Byzantine Empire	Byzantine Empire	Italia	5	5	8	24		Lombard	Lombard	Sicilian	Catholicism	Catholicism	Catholicism	Benevento	https://ck3.paradoxwikis.com/List_of_counties#Benevento
