fact_id	child_id	child_name	child_rank	expected_parent_rank	current_parent_id	current_parent_name	current_parent_rank	span	review_priority	notes
fact-q42585-parent-q131964	title-q42585	Kingdom of Bohemia	Kingdom	Crown	title-q131964	Austrian Empire	Empire	1804..1866	low_intermediate_parent_review	Review whether this rank skip is acceptable for query behavior or needs an intermediate parent packet.
fact-q42585-parent-q28513	title-q42585	Kingdom of Bohemia	Kingdom	Crown	title-q28513	Austria-Hungary	Empire	1867..1918	low_intermediate_parent_review	Review whether this rank skip is acceptable for query behavior or needs an intermediate parent packet.
fact-q2980623-parent-q12560	title-q2980623	Kingdom of Bosnia	Kingdom	Crown	title-q12560	Ottoman Empire	Empire	1463..1463	low_intermediate_parent_review	Review whether this rank skip is acceptable for query behavior or needs an intermediate parent packet.
fact-q533558-parent-q28513	title-q533558	Kingdom of Croatia-Slavonia	Kingdom	Crown	title-q28513	Austria-Hungary	Empire	1868..1918	low_intermediate_parent_review	Review whether this rank skip is acceptable for query behavior or needs an intermediate parent packet.
fact-q223793-parent-q71084	title-q223793	Kingdom of Etruria	Kingdom	Crown	title-q71084	First French Empire	Empire	1804..1807	low_intermediate_parent_review	Review whether this rank skip is acceptable for query behavior or needs an intermediate parent packet.
fact-q2396442-parent-q131964	title-q2396442	Kingdom of Galicia and Lodomeria	Kingdom	Crown	title-q131964	Austrian Empire	Empire	1804..1866	low_intermediate_parent_review	Review whether this rank skip is acceptable for query behavior or needs an intermediate parent packet.
fact-q2396442-parent-q28513	title-q2396442	Kingdom of Galicia and Lodomeria	Kingdom	Crown	title-q28513	Austria-Hungary	Empire	1867..1918	low_intermediate_parent_review	Review whether this rank skip is acceptable for query behavior or needs an intermediate parent packet.
fact-q164079-parent-q151624	title-q164079	Kingdom of Hanover	Kingdom	Crown	title-q151624	German Confederation	Empire	1815..1866	low_intermediate_parent_review	Review whether this rank skip is acceptable for query behavior or needs an intermediate parent packet.
fact-q212278-parent-q71084	title-q212278	Kingdom of Holland	Kingdom	Crown	title-q71084	First French Empire	Empire	1806..1810	low_intermediate_parent_review	Review whether this rank skip is acceptable for query behavior or needs an intermediate parent packet.
fact-q171150-parent-q131964	title-q171150	Kingdom of Hungary	Kingdom	Crown	title-q131964	Austrian Empire	Empire	1804..1867	low_intermediate_parent_review	Review whether this rank skip is acceptable for query behavior or needs an intermediate parent packet.
fact-q253094-parent-q131964	title-q253094	Kingdom of Hungary	Kingdom	Crown	title-q131964	Austrian Empire	Empire	1804..1867	low_intermediate_parent_review	Review whether this rank skip is acceptable for query behavior or needs an intermediate parent packet.
fact-q25395037-parent-q28513	title-q25395037	Kingdom of Hungary	Kingdom	Crown	title-q28513	Austria-Hungary	Empire	1867..1918	low_intermediate_parent_review	Review whether this rank skip is acceptable for query behavior or needs an intermediate parent packet.
fact-q1117051-parent-q131964	title-q1117051	Kingdom of Illyria	Kingdom	Crown	title-q131964	Austrian Empire	Empire	1816..1849	low_intermediate_parent_review	Review whether this rank skip is acceptable for query behavior or needs an intermediate parent packet.
fact-q1069959-parent-q34266	title-q1069959	Kingdom of Imereti	Kingdom	Crown	title-q34266	Russian Empire	Empire	1804..1810	low_intermediate_parent_review	Review whether this rank skip is acceptable for query behavior or needs an intermediate parent packet.
fact-q223936-parent-q71084	title-q223936	Kingdom of Italy	Kingdom	Crown	title-q71084	First French Empire	Empire	1805..1814	low_intermediate_parent_review	Review whether this rank skip is acceptable for query behavior or needs an intermediate parent packet.
